Emotion,Accuracy
angry,73.79310344827587
calm,76.19047619047619
disgust,54.54545454545454
fear,48.80546075085324
happy,61.42322097378277
neutral,66.40926640926641
sad,59.46843853820598
surprise,86.11111111111111
